,time,open,high,low,close,volume,vc
260,2020-05-05T09:39:00.000Z,9048.4,9050.1,9048.3,9048.7,420,4.2
261,2020-05-05T09:38:00.000Z,9051,9051,9044.2,9050.1,906,9.06
262,2020-05-05T09:37:00.000Z,9053.2,9054.3,9050.2,9052.2,329,3.29
263,2020-05-05T09:36:00.000Z,9044.6,9054.3,9044.6,9052.7,281,2.81
264,2020-05-05T09:35:00.000Z,9047,9047.4,9038.5,9044.6,475,4.75
265,2020-05-05T09:34:00.000Z,9043.2,9049.1,9043.2,9047.7,668,6.68
266,2020-05-05T09:33:00.000Z,9046.5,9047.4,9044,9044,298,2.98
267,2020-05-05T09:32:00.000Z,9060.7,9060.7,9046.3,9048.2,1006,10.06
268,2020-05-05T09:31:00.000Z,9065.1,9065.1,9059.8,9061.7,392,3.92
269,2020-05-05T09:30:00.000Z,9057.1,9065,9057.1,9065,1519,15.19
270,2020-05-05T09:29:00.000Z,9049.7,9062,9049.7,9057.9,1240,12.4
271,2020-05-05T09:28:00.000Z,9042,9051.1,9036.8,9049.6,871,8.71
272,2020-05-05T09:27:00.000Z,9032.8,9045.5,9032.8,9042.6,774,7.74
273,2020-05-05T09:26:00.000Z,9017.6,9038,9017.5,9030.9,1442,14.42
274,2020-05-05T09:25:00.000Z,9013.3,9017.9,9013.3,9017.9,208,2.08
275,2020-05-05T09:24:00.000Z,9013.4,9013.8,9012.6,9013.8,91,0.91
276,2020-05-05T09:23:00.000Z,9014.5,9014.5,9002.3,9011.9,595,5.95
277,2020-05-05T09:22:00.000Z,9004.8,9015.7,9004,9015.4,252,2.52
278,2020-05-05T09:21:00.000Z,9004.6,9005.5,9003.3,9004.9,186,1.86
279,2020-05-05T09:20:00.000Z,9001.6,9007.9,8998.9,9004,1152,11.52
280,2020-05-05T09:19:00.000Z,9002.7,9002.7,9001.3,9001.6,128,1.28
281,2020-05-05T09:18:00.000Z,9008.1,9008.1,9001.1,9002.8,1021,10.21
282,2020-05-05T09:17:00.000Z,9012,9012,9005.5,9008.9,359,3.59
283,2020-05-05T09:16:00.000Z,9013.5,9015.5,9013.5,9013.8,95,0.95
284,2020-05-05T09:15:00.000Z,9013.5,9015.4,9012.3,9014.3,180,1.8
285,2020-05-05T09:14:00.000Z,9008,9015.9,9008,9012.8,156,1.56
286,2020-05-05T09:13:00.000Z,9004.7,9010.3,9004.7,9007.6,324,3.24
287,2020-05-05T09:12:00.000Z,9022.8,9023.9,9005.9,9005.9,661,6.61
288,2020-05-05T09:11:00.000Z,9019.8,9023.2,9019.8,9023,36,0.36
289,2020-05-05T09:10:00.000Z,9019.9,9019.9,9019.5,9019.5,302,3.02
290,2020-05-05T09:09:00.000Z,9021.6,9021.6,9014.5,9019.8,561,5.61
291,2020-05-05T09:08:00.000Z,9021.2,9023.8,9018.2,9022,117,1.17
292,2020-05-05T09:07:00.000Z,9026.1,9026.1,9020.4,9020.4,326,3.26
293,2020-05-05T09:06:00.000Z,9017.8,9028,9014.7,9026.1,619,6.19
294,2020-05-05T09:05:00.000Z,9026.2,9027.6,9018,9018,153,1.53
295,2020-05-05T09:04:00.000Z,9032.4,9032.5,9024.5,9026.3,420,4.2
296,2020-05-05T09:03:00.000Z,9028.7,9032.6,9028.7,9031.9,466,4.66
297,2020-05-05T09:02:00.000Z,9028.6,9029.8,9026.8,9029.3,255,2.55
298,2020-05-05T09:01:00.000Z,9034.4,9037.8,9029.4,9029.4,1085,10.85
299,2020-05-05T09:00:00.000Z,9039.3,9039.3,9030.8,9034.7,338,3.38
